	verdict	intersection
194	198865.json	['165', '345', '349', '400', '417', '454', '463', '489', '506', '541', '542', '616', '637', '646', '647', '676', '714', '717', '730', '767', '788', '857', '885', '893', '906', '999', '1000', '1026', '1051', '1126', '1162', '1163', '1214', '1324', '1338', '1352', '1376', '1378', '1393']
195	198866.json	['48', '92', '154', '398', '510', '524', '591', '702', '705', '797', '818', '850', '979', '983', '1082', '1109', '1155', '1277']
196	198867.json	['370', '372', '373', '374', '375', '376', '377', '378', '379', '380', '381', '434', '435', '436', '437', '438', '439', '440', '441', '442', '443', '444', '445', '446', '447', '448', '449', '450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461', '462', '463', '464', '465', '466', '467', '468', '469', '470', '471', '472', '473', '474', '475', '476', '477', '478', '479', '480', '481', '482', '483', '484', '485', '486', '487', '488', '489', '490', '491', '492', '493', '494', '495', '496', '497', '498', '499', '500', '501', '502', '503', '504', '505', '506', '507', '508', '509', '510', '511', '512', '513', '514', '515', '516', '517', '518', '519', '520']
197	198868.json	['0', '126', '1338']
198	198869.json	['0', '704']
199	198870.json	['591', '797', '979', '996', '1007', '1033', '1041']
200	198871.json	['111', '144', '146', '182', '225', '239', '291', '300', '348', '358', '399', '475', '633', '744', '768', '814', '858', '925', '1035', '1078', '1101', '1120', '1144', '1160', '1180', '1203']
201	198872.json	['178', '757', '779', '785', '796', '1059']
202	198873.json	['92', '154', '428', '478', '530', '815', '945', '1082', '1085']
203	198874.json	['26', '44', '218', '428', '500', '522', '530', '591', '705', '724', '779', '1082', '1197']
204	198875.json	['37', '236', '266', '345', '400', '408', '463', '470', '494', '541', '610', '637', '767', '806', '859', '1046', '1056', '1196']
205	198876.json	['638', '1351']
206	198877.json	['86', '92', '109', '429', '478', '510', '641', '662', '702', '733', '815', '1007', '1093', '1155', '1319', '1330']
207	198878.json	['86', '241', '514', '741', '760', '779', '789', '946', '1226', '1277', '1330', '1375']
208	198879.json	['144', '167', '226', '358', '468', '479', '590', '601', '616', '714', '781', '866', '893', '939', '953', '987', '999', '1021', '1077', '1342', '1359', '1378']
209	198880.json	['48', '86', '92', '109', '154', '155', '241', '510', '524', '537', '641', '702', '733', '818', '850', '946', '979', '1007', '1082', '1093', '1155', '1319']
210	198881.json	['34', '724', '797', '946', '990', '1385']
211	198882.json	['48', '92', '154', '241', '411', '510', '591', '702', '705', '733', '797', '831', '979', '1007', '1082', '1364']
212	198883.json	['182', '433', '484', '843', '886', '918']
213	198884.json	['15', '417', '494', '616', '646', '694', '906', '953', '1046', '1158']
214	198885.json	['218', '430', '500', '743', '785', '1250', '1350']
215	198886.json	['168', '178', '256', '410', '439', '513', '785', '1059']
216	198887.json	['86', '157', '510', '524', '616', '733', '818', '1119', '1155']
217	198888.json	['73', '86', '92', '367', '411', '511', '543', '671', '736', '797', '850', '996', '1109', '1141', '1181', '1248', '1319']
218	198889.json	['0', '111', '126', '214', '224', '319', '420', '454', '502', '578', '793', '807', '836', '1064', '1078', '1102', '1114', '1126', '1136', '1143', '1144', '1154', '1161', '1173', '1180', '1200', '1220', '1338', '1367']
219	198890.json	['147', '616', '626', '714', '1119', '1165', '1344', '1377']
220	198891.json	['37', '236', '248', '266', '408', '417', '470', '494', '610', '637', '767', '857', '859', '906', '1000', '1046', '1056', '1065', '1161']
221	198892.json	['0', '1119', '1248', '1344']
222	198893.json	['37', '165', '236', '248', '325', '345', '349', '361', '400', '408', '463', '489', '506', '541', '542', '577', '605', '610', '625', '637', '691', '767', '859', '958', '1000', '1026', '1046', '1051', '1054', '1065', '1158', '1159', '1161', '1286']
223	198894.json	['38', '116', '398', '741', '789', '797', '946', '979', '983', '996', '1067', '1155', '1277']
224	198895.json	['182', '242', '433', '465', '530', '843', '853', '886', '933']
225	198896.json	['236', '694', '859', '1158']
226	198897.json	['19', '23', '433', '465', '513', '640', '695', '785', '796', '1350']
227	198899.json	['79', '86', '196', '451', '505', '663', '733', '810', '1119', '1170', '1375']
228	198900.json	['6', '92', '154', '343', '428', '478', '507', '516', '530', '550', '695', '770', '815', '897', '1155', '1179', '1302']
229	198901.json	['347', '410', '433', '465', '500', '843', '886', '918', '933', '1234', '1279']
230	198902.json	['19', '58', '235', '347', '530', '677', '695', '833', '843']
231	198904.json	['47', '779', '965']
232	198906.json	['48', '86', '150', '241', '741', '797', '1277']
233	198907.json	['1', '19', '178', '250', '256', '347', '357', '428', '439', '465', '530', '565', '770', '1231', '1279', '1281', '1337']
234	198910.json	['37', '146', '214', '319', '341', '437', '475', '477', '488', '489', '502', '545', '584', '698', '795', '836', '862', '879', '958', '1011', '1026', '1035', '1078', '1126', '1132', '1136', '1144', '1159', '1164', '1173', '1180', '1200', '1220', '1232', '1259', '1338', '1356', '1366', '1367', '1376', '1378']
235	198911.json	['86', '92', '241', '702', '750', '797', '850', '946', '952', '1007', '1082', '1331', '1375']
236	198912.json	['454', '489', '502', '836', '906', '1000', '1026', '1126', '1136', '1143', '1144', '1154', '1158', '1324', '1338', '1376', '1393']
237	198913.json	['1', '347', '410', '433', '443', '500', '710', '743', '796', '886', '924', '1059', '1234', '1315']
238	198914.json	['241', '478', '770', '779', '1330']
239	198915.json	['0', '242', '728', '733', '814', '948', '1035', '1303', '1344']
240	198917.json	['6', '23', '256', '410', '779', '843', '938', '1058']
241	198918.json	['147', '158', '616', '641', '663', '696', '906', '1113', '1119', '1377']
242	198919.json	['154', '155', '196', '510', '537', '616', '663', '818', '946', '952', '1155']
243	198920.json	['18', '38', '73', '411', '524', '543', '591', '736', '979', '996', '1109', '1141', '1181', '1277']
244	198922.json	['165', '345', '400', '417', '463', '489', '494', '541', '616', '637', '714', '767', '857', '859', '885', '893', '906', '964', '1000', '1026', '1046', '1054', '1056', '1065', '1158', '1159', '1377']
245	198923.json	['43', '142', '150', '221', '457', '593', '601', '675', '789', '955', '1107', '1131']
246	198924.json	['291', '348', '538', '539', '563', '568', '578', '768', '791', '862', '985', '1022', '1078', '1101', '1127', '1322', '1335', '1356', '1366']
247	198925.json	['6', '19', '178', '433', '465', '843', '1059', '1234', '1311']
248	198926.json	['105', '150', '338', '409', '428', '457', '458', '591', '789', '1017', '1025', '1131', '1226', '1332', '1357']
249	198927.json	['18', '48', '241', '398', '591', '797', '850', '979', '1033', '1041', '1174', '1197', '1236', '1253', '1277', '1348']
250	198928.json	['348', '484', '1213', '1303']
251	198929.json	['38', '73', '92', '154', '157', '398', '411', '510', '524', '543', '591', '736', '741', '797', '818', '850', '979', '996', '1109', '1141', '1155', '1181', '1253', '1277', '1302', '1319']
252	198931.json	['242', '343', '510', '843', '1155']
253	198932.json	['616', '810', '882', '1170']
254	198933.json	['0', '116', '602', '1143', '1248']
255	198934.json	['24', '109', '641', '733', '1119', '1248']
256	198935.json	['0', '96', '121', '214', '224', '229', '290', '319', '420', '454', '477', '502', '539', '561', '578', '784', '793', '807', '826', '836', '1064', '1086', '1102', '1114', '1126', '1136', '1143', '1173', '1186', '1219', '1220', '1246', '1285', '1335', '1338', '1367']
257	198937.json	['25', '43', '105', '116', '405', '457', '518', '670', '740', '765', '847', '1131', '1349']
258	198938.json	['92', '154', '155', '157', '398', '510', '702', '705', '733', '797', '818', '850', '979', '1007', '1033', '1082', '1093', '1116', '1319']
259	198939.json	['146', '165', '203', '226', '489', '506', '545', '696', '714', '885', '1000', '1159', '1284', '1342']
260	198940.json	['789']
261	198941.json	['6', '733', '779', '843']
262	198942.json	['0', '448', '704', '1170']
263	198944.json	['86', '591', '946', '1375']
264	198945.json	['48', '86', '428', '779', '1155', '1277']
265	198946.json	['37', '236', '266', '345', '400', '408', '417', '438', '463', '470', '494', '541', '610', '625', '635', '637', '694', '767', '859', '1046', '1054', '1056', '1158', '1196']
266	198947.json	['37', '165', '236', '284', '325', '345', '400', '417', '437', '470', '489', '541', '542', '634', '652', '676', '727', '730', '767', '795', '859', '1000', '1026', '1046', '1051', '1054', '1065', '1126', '1146', '1158', '1159', '1201', '1286', '1352', '1393']
267	198948.json	['86', '150', '241', '591', '789', '946', '1007', '1080', '1277', '1375']
268	198949.json	['44', '250', '530', '540', '591', '833', '1019', '1072', '1082']
269	198950.json	['478']
270	198951.json	['953', '1170']
271	198952.json	['44', '410', '428', '430', '433', '465', '530', '741', '757', '785', '886']
272	198953.json	['47', '147', '472', '692', '965', '1119']
273	198954.json	['147', '254', '309', '494', '616', '663', '734', '822', '893', '942', '945', '964', '1119', '1156', '1377']
274	198955.json	['86', '196', '537', '789', '810', '946', '1007', '1158', '1310', '1349']
275	198956.json	['480', '782', '980', '1001', '1106']
276	198957.json	['96', '111', '113', '146', '225', '269', '291', '475', '488', '563', '578', '633', '781', '836', '858', '987', '1021', '1035', '1077', '1078', '1114', '1120', '1143', '1160', '1219', '1335', '1338', '1367', '1378']
277	198958.json	['142', '150', '797', '946', '1028', '1118', '1375', '1385']
278	198959.json	['336', '398', '428', '500', '591', '692', '705', '770', '797', '870', '1082', '1226', '1255']
279	198960.json	['0', '448', '704', '1170']
280	198961.json	['92', '313', '616', '663', '733', '815', '942', '1033', '1093', '1181', '1319']
281	198963.json	['37', '147', '236', '345', '361', '400', '408', '417', '438', '463', '494', '541', '625', '637', '694', '767', '859', '1000', '1046', '1054', '1056', '1065', '1158', '1286']
282	198964.json	['291', '348', '480', '538', '568', '768', '781', '790', '980', '1001', '1021', '1022', '1101', '1106', '1127', '1180', '1203']
283	198965.json	['417', '468', '506', '616', '646', '647', '676', '714', '717', '728', '730', '885', '893', '953', '1000', '1054', '1096', '1158', '1163', '1182', '1210', '1324']
284	198968.json	['39', '44', '210', '245', '347', '410', '433', '500', '565', '620', '739', '785', '886', '933', '1058', '1059', '1213', '1234', '1279', '1308', '1315']
285	198969.json	['48', '92', '154', '241', '398', '411', '591', '702', '705', '797', '850', '952', '979', '1007', '1082', '1109', '1135', '1277']
286	198971.json	['18', '44', '48', '86', '92', '241', '367', '398', '447', '524', '591', '666', '741', '797', '979', '983', '996', '1082', '1277', '1319']
287	198973.json	['1170']
288	198974.json	['86', '196', '394', '440', '497', '601', '681', '810', '882', '885', '953', '954', '969', '1140', '1310', '1375', '1377', '1385']
289	198975.json	['154', '398', '591', '705', '797', '818', '850', '979', '1109', '1197', '1253']
290	198976.json	['37', '236', '345', '361', '400', '408', '417', '463', '470', '489', '610', '635', '637', '694', '767', '806', '859', '1046', '1056', '1065', '1158', '1196']
291	198978.json	['15', '86', '497', '510', '789', '885', '1158', '1310', '1375', '1377']
292	198979.json	['15', '147', '254', '451', '497', '641', '646', '680', '696', '789', '882', '964', '1119', '1156', '1377']
293	198980.json	['86', '92', '154', '241', '411', '591', '662', '702', '733', '797', '952', '996', '1003', '1007', '1319', '1331']
294	198981.json	['241', '398', '524', '591']
295	198982.json	['92', '154', '155', '398', '510', '524', '537', '591', '733', '818', '946', '983', '1007', '1093', '1155', '1181', '1319', '1375']
296	198984.json	['439', '456', '461', '465', '500', '513', '517']
297	198986.json	['19', '23', '168', '242', '257', '306', '328', '371', '465', '512', '513', '607', '640', '677', '757', '785', '794', '828', '959', '1012', '1085', '1128', '1231', '1281', '1322']
298	198987.json	['1', '19', '177', '295', '357', '439', '443', '465', '492', '513', '565', '640', '796', '1029', '1231', '1279', '1281', '1311', '1350', '1361']
299	198990.json	['48', '92', '154', '591', '705', '797', '979', '996', '1221', '1277']
300	198991.json	['25', '59', '145', '188', '251', '457', '458', '551', '643', '825', '847', '849', '856', '937', '995', '1006', '1025', '1032', '1131', '1182', '1293', '1332', '1370']
301	198993.json	['15', '236', '248', '266', '345', '408', '417', '463', '489', '610', '635', '637', '694', '767', '859', '1026', '1046', '1056', '1065', '1158', '1161', '1196']
302	198994.json	['146']
303	198995.json	['37', '165', '201', '236', '266', '325', '345', '349', '400', '408', '437', '463', '470', '476', '489', '541', '542', '545', '577', '605', '610', '634', '635', '652', '676', '694', '704', '727', '730', '788', '865', '874', '885', '958', '964', '1000', '1026', '1046', '1053', '1056', '1065', '1126', '1145', '1159', '1196', '1352', '1376']
304	198996.json	['478', '695', '733']
305	198997.json	['92', '154', '241', '398', '510', '591', '705', '797', '818', '946', '952', '979', '1007', '1082']
306	198998.json	['313', '358', '1284']
307	198999.json	['111', '146', '291', '341', '475', '484', '488', '586', '744', '752', '768', '858', '1078', '1097', '1144', '1160', '1180', '1322', '1356']
308	199000.json	['47', '86', '217', '504']
309	199002.json	['273', '398', '449', '629', '631', '762', '797', '946', '979', '990', '1002', '1049', '1135', '1172', '1221', '1223', '1348']
310	199003.json	['211', '310', '682', '684', '692', '693', '855', '962', '997', '1014', '1130', '1137', '1270', '1299']
311	199004.json	['524', '770', '779', '946', '952', '1082', '1155']
312	199005.json	['38', '73', '86', '92', '109', '235', '256', '524', '543', '736', '741', '843', '1019', '1141', '1181', '1319']
313	199006.json	['343', '1177', '1193', '1277']
314	199008.json	['6', '178', '256', '410', '843']
315	199009.json	['73', '116', '173', '367', '411', '537', '720', '983', '996']
316	199010.json	['410', '1059', '1226']
317	199011.json	['73', '92', '367', '411', '659', '662', '733', '979', '1003', '1007', '1375']
318	199012.json	['743', '796', '886', '1250']
319	199014.json	['44', '343', '433', '478', '695', '886', '1350']
320	199016.json	['155', '157', '428', '478', '695', '1155']
321	199017.json	['657', '756', '1259', '1366']
322	199018.json	['1170']
323	199019.json	['168', '306', '439', '465', '513', '640', '785', '843']
324	199021.json	['19', '251', '260', '404', '428', '530', '564', '607', '748', '805', '1255']
325	199022.json	['128', '182', '242', '280', '293', '399', '484', '586', '843', '1035']
326	199023.json	['38', '44', '116', '250', '843', '979', '1019']
327	199024.json	['211', '310', '682', '684', '692', '693', '855', '962', '997', '1014', '1130', '1137', '1270', '1299']
328	199026.json	['218', '430', '500', '514', '741', '743', '779', '785', '1059']
329	199027.json	['24', '182', '242', '399', '815', '1085']
330	199028.json	['73', '92', '154', '411', '537', '662', '797', '818', '979', '983', '996', '1003', '1109', '1155', '1277']
331	199029.json	['86', '92', '154', '398', '510', '789', '818', '1082']
332	199030.json	['6', '256', '430', '620', '779', '938', '1058', '1179']
333	199032.json	['86', '315', '438', '953', '1003', '1181', '1375']
334	199033.json	['86', '92', '591', '1375']
335	199034.json	['466', '469', '544', '614', '615', '693', '1212']
336	199036.json	['19', '44', '235', '276', '398', '429', '478', '530', '550', '695', '705', '757', '815', '833', '979', '1082', '1226', '1302']
337	199037.json	['79', '155', '537', '616', '641', '663', '733', '818', '1093', '1119', '1179']
338	199038.json	['15', '438', '463', '494', '616', '714', '857', '885', '893', '906', '953', '964', '1046', '1056', '1132', '1156', '1158', '1167', '1377']
339	199039.json	['15', '74', '438', '489', '616', '646', '893', '953', '1000', '1119', '1158', '1344']
340	199040.json	['537', '616', '720', '818', '953', '1113', '1156']
341	199041.json	['89', '96', '111', '112', '203', '214', '224', '269', '319', '454', '477', '502', '515', '539', '545', '561', '578', '698', '756', '784', '791', '807', '836', '862', '879', '1064', '1078', '1086', '1102', '1114', '1132', '1136', '1153', '1159', '1161', '1173', '1180', '1200', '1214', '1220', '1232', '1246', '1259', '1338', '1356', '1366', '1367', '1376', '1378']
342	199042.json	['348', '358', '456', '538', '563', '568', '768', '814', '985', '1086', '1143', '1356', '1366']
343	199043.json	['111', '146', '182', '399', '420', '475', '484', '488', '586', '607', '744', '768', '790', '791', '858', '862', '959', '1022', '1035', '1143', '1149', '1160', '1165', '1180', '1322', '1366']
344	199044.json	['6', '23', '225', '254', '399', '512', '734', '783', '822', '942', '945', '959', '1119', '1149', '1165']
345	199045.json	['32', '74', '76', '321', '403', '468', '489', '494', '547', '616', '626', '708', '714', '717', '885', '893', '906', '953', '964', '1000', '1113', '1156', '1163', '1210', '1262', '1377']
346	199046.json	['478', '530', '695']
347	199047.json	['6', '158', '254', '399', '616', '641', '696', '708', '1113', '1119', '1156', '1158', '1165', '1377']
348	199048.json	['6', '19', '167', '399', '512', '607', '779', '959', '991', '992', '1128', '1165', '1179']
349	199049.json	['510', '779', '789', '818', '870', '1226']
350	199050.json	['48', '241', '398', '530', '666', '797', '979', '1277']
351	199051.json	['38', '73', '86', '524', '736', '1141', '1181']
352	199052.json	['89', '111', '141', '146', '225', '239', '291', '348', '475', '488', '545', '578', '586', '744', '768', '790', '791', '793', '836', '858', '862', '918', '1035', '1064', '1078', '1097', '1101', '1114', '1120', '1132', '1143', '1144', '1149', '1160', '1180', '1203', '1220', '1322', '1335', '1366', '1367']
353	199053.json	['121', '126', '203', '214', '224', '248', '291', '319', '437', '454', '477', '502', '545', '584', '691', '698', '836', '874', '993', '1000', '1026', '1064', '1065', '1102', '1126', '1132', '1136', '1153', '1154', '1159', '1161', '1173', '1200', '1220', '1246', '1335', '1338', '1367', '1376']
354	199056.json	['86', '449', '692', '1221', '1250', '1375']
355	199057.json	['438', '692', '818', '893', '946', '952', '953', '1158', '1375']
356	199058.json	['19', '23', '58', '428', '530', '695', '833', '886', '1302']
357	199059.json	['18', '679', '724', '797', '979', '1019', '1082']
358	199060.json	['294', '576', '661', '837', '987', '1101']
359	199061.json	['38', '86', '157', '241', '510', '983']
360	199063.json	['241', '431', '666', '797', '946', '979', '1007', '1277', '1375']
361	199065.json	['211', '310', '682', '684', '692', '693', '855', '962', '997', '1014', '1130', '1137', '1270', '1299']
362	199066.json	['111', '144', '146', '167', '254', '291', '348', '371', '475', '563', '586', '633', '768', '858', '925', '1035', '1078', '1160', '1322']
363	199067.json	['403', '494', '616', '736', '857', '906', '1167', '1377']
364	199068.json	['1', '250', '347', '410', '433', '439', '443', '465', '512', '513', '565', '785', '796', '941', '1231', '1234', '1279', '1281', '1311', '1315']
365	199069.json	['242', '433', '465', '500', '640', '785', '843', '853', '886', '933']
366	199070.json	['150', '343']
367	199072.json	['15', '616', '953', '1119', '1165']
368	199073.json	['178', '430', '465', '513', '757', '785', '843', '1059']
369	199074.json	['500', '741', '843', '886', '979', '1019']
370	199075.json	['92', '154', '241', '398', '478', '510', '591', '705', '797', '818', '850', '870', '899', '979', '983', '1082', '1155', '1221']
371	199076.json	['14', '15', '616', '680', '736', '953', '1119', '1181']
372	199077.json	['69', '115', '133', '225', '239', '310', '376', '390', '538', '568', '781', '782', '830', '863', '880', '889', '980', '985', '1021', '1106', '1189', '1198', '1322']
373	199078.json	['236', '266', '345', '408', '417', '470', '494', '610', '637', '859', '906', '1046', '1056', '1158']
374	199079.json	['37', '165', '236', '248', '266', '279', '325', '345', '361', '400', '408', '417', '470', '489', '494', '506', '541', '610', '625', '635', '637', '653', '691', '694', '767', '806', '859', '958', '964', '1000', '1026', '1046', '1051', '1056', '1065', '1146', '1158', '1159', '1161', '1196']
375	199080.json	['197', '235', '242', '276', '306', '465', '507', '513', '516', '550', '640', '695', '757', '785', '843', '886', '1012', '1085']
376	199081.json	['92', '241', '398', '411', '431', '591', '797', '850', '979', '1082', '1109', '1236', '1277']
377	199082.json	['86', '92', '154', '155', '411', '478', '702', '733', '783', '815', '818', '850', '1007', '1085', '1093', '1319']
378	199083.json	['115', '144', '206', '239', '313', '317', '328', '348', '371', '376', '424', '581', '601', '754', '762', '781', '830', '863', '889', '939', '987', '1108', '1223', '1305', '1322']
379	199084.json	['92', '154', '155', '478', '510', '616', '641', '733', '818', '946', '953', '1093', '1119', '1155']
380	199085.json	['111', '146', '291', '348', '358', '371', '475', '488', '563', '744', '768', '858', '925', '1035', '1064', '1078', '1101', '1120', '1128', '1149', '1160', '1322', '1335']
381	199086.json	['37', '112', '126', '165', '203', '236', '266', '279', '325', '345', '361', '400', '408', '437', '454', '470', '489', '603', '605', '610', '625', '635', '637', '653', '691', '698', '704', '767', '806', '859', '874', '958', '1000', '1026', '1046', '1051', '1056', '1065', '1126', '1146', '1159', '1161', '1162', '1173', '1196', '1338', '1376']
382	199087.json	['236', '266', '345', '349', '403', '417', '438', '448', '470', '610', '616', '637', '704', '859', '885', '893', '953', '964', '999', '1158', '1163']
383	199088.json	['92', '154', '398', '428', '510', '524', '591', '705', '733', '797', '818', '979', '1082', '1155']
384	199089.json	['89', '96', '112', '121', '126', '141', '203', '214', '224', '229', '269', '290', '319', '437', '454', '477', '502', '515', '539', '545', '561', '584', '691', '698', '807', '826', '836', '874', '993', '1026', '1064', '1086', '1102', '1114', '1126', '1136', '1153', '1159', '1161', '1164', '1173', '1186', '1200', '1207', '1214', '1220', '1246', '1285', '1335', '1338', '1356', '1367', '1376']
385	199090.json	['14', '15', '438', '494', '694', '806', '953', '1056', '1158']
386	199092.json	['736', '1003']
387	199093.json	['0', '1143']
388	199094.json	['0', '96', '121', '214', '224', '229', '290', '319', '420', '454', '477', '502', '539', '561', '578', '784', '793', '807', '826', '836', '1064', '1086', '1102', '1114', '1126', '1136', '1143', '1153', '1173', '1200', '1219', '1220', '1246', '1285', '1338', '1367']
389	199095.json	['1003', '1170', '1248', '1344']
390	199097.json	['126', '349', '403', '448', '704', '857', '1338']
391	199098.json	['44', '233', '1058']
392	199099.json	['15', '236', '448', '494', '548', '616', '680', '964', '1056', '1156', '1377']
393	199100.json	['348', '358', '814']
394	199102.json	['126', '146', '236', '321', '325', '341', '400', '454', '489', '502', '545', '637', '698', '708', '795', '874', '879', '1000', '1011', '1026', '1046', '1065', '1126', '1132', '1136', '1153', '1159', '1161', '1214', '1220', '1259', '1335', '1338', '1367', '1378', '1393']
395	199103.json	['74', '146', '228', '242', '254', '291', '341', '401', '448', '475', '484', '502', '586', '607', '616', '708', '791', '879', '885', '1035', '1078', '1119', '1122', '1132', '1144', '1167', '1180', '1252']
396	199105.json	['37', '165', '201', '236', '349', '400', '408', '417', '434', '470', '476', '494', '541', '577', '610', '625', '634', '637', '652', '719', '767', '859', '888', '906', '1000', '1046', '1051', '1053', '1054', '1056', '1065', '1146', '1158', '1162', '1194', '1261', '1286']
397	199106.json	['243', '779', '1179', '1337']
398	199107.json	[]
399	199108.json	['211', '310', '682', '684', '692', '693', '855', '962', '997', '1014', '1130', '1137', '1270', '1299']
400	199109.json	['457', '459', '469', '493', '498', '509', '518', '522']
401	199111.json	['92', '438', '616', '953']
402	199112.json	['147', '502', '541', '548', '600', '616', '641', '708', '879', '885', '906', '1011', '1056', '1132', '1159', '1165', '1232', '1286', '1338', '1377']
403	199113.json	['150', '343', '770', '779', '789', '1155', '1231', '1279', '1310', '1349', '1385']
404	199114.json	['240', '484', '607', '781', '959']
405	199115.json	['15', '37', '165', '236', '400', '408', '448', '489', '541', '637', '704', '906', '964', '1000', '1046', '1056', '1065', '1158', '1167', '1286']
406	199116.json	['73', '92', '154', '155', '241', '411', '510', '524', '537', '543', '591', '616', '702', '720', '733', '797', '818', '946', '983', '1007', '1033', '1093', '1155', '1181', '1253', '1262', '1319']
407	199118.json	['147', '505', '953', '1158']
408	199119.json	['44', '256', '430', '465', '779', '991', '1059', '1231']
409	199120.json	['37', '203', '236', '248', '266', '325', '345', '361', '400', '408', '463', '470', '494', '541', '603', '610', '625', '635', '637', '653', '691', '704', '767', '806', '859', '958', '1000', '1026', '1046', '1056', '1065', '1126', '1158', '1159', '1161', '1162', '1173', '1196', '1376']
410	199121.json	['38', '256', '258', '276', '429', '513', '785', '843', '991', '1179', '1302']
411	199122.json	['86', '150', '741', '1059', '1277']
412	199123.json	['86', '156', '212', '364', '382', '449', '644', '672', '725', '750', '910', '996', '1004', '1036', '1090', '1184', '1187', '1193', '1375']
413	199124.json	['92', '241', '398', '666', '702', '797', '979', '1007', '1050', '1135', '1319']
414	199125.json	['111', '222', '239', '269', '313', '348', '360', '633', '793', '837', '839', '987', '1303', '1333']
415	199126.json	['104', '225', '298', '371', '390', '456', '538', '554', '569', '688', '781', '782', '830', '839', '863', '904', '927', '972', '985', '1021', '1106', '1198', '1322']
416	199127.json	['113', '146', '203', '358', '475', '488', '578', '756', '836', '1086', '1114', '1120', '1214', '1259', '1366', '1378']
417	199129.json	['15', '694', '714', '789', '953', '964', '1054', '1377']
418	199130.json	['69', '104', '222', '225', '310', '317', '348', '390', '538', '554', '568', '569', '633', '688', '703', '768', '781', '782', '814', '830', '839', '863', '880', '889', '904', '927', '972', '985', '1021', '1077', '1106', '1189', '1198', '1203', '1322', '1334']
